Category,Drink,calories,contains Dairy,Vegan,coffeine free,contains gluten,contains tree nuts,best seller
Standard Toppings,Boba, 199-299 calories,No,No,Yes,No,No,No
Standard Toppings,Oreo, 93-140 calories,No,No,Yes,Yes,No,No
Standard Toppings,Pudding, 87-131 calories,Yes,No,Yes,No,No,No
Standard Toppings,Nata Jelly, 79-119 calories,No,Yes,Yes,No,No,No
Standard Toppings,Herbal Jelly, 111-167 calories,No,Yes,Yes,No,No,No
Standard Toppings,Mango Jelly, 79-119 calories,No,Yes,Yes,No,No,No
Standard Toppings,Red Bean, 125-187 calories,No,Yes,Yes,No,No,No
Standard Toppings,Chia Seeds, 0 calories,No,No,Yes,No,No,No
Standard Toppings,Purple Yam, 100-150 calories,No,Yes,Yes,No,No,No
Premium Topping,Aloe Jelly, 42-63 calories,No,Yes,Yes,No,No,No
Premium Topping,Lychee Crystal Boba, 54-80 calories,No,Yes,Yes,No,No,No
Premium Topping,Berry Crystal Boba, 54-80 calories,No,Yes,Yes,No,No,No
Premium Topping,Mango Popping Boba, 115-173 calories,No,Yes,Yes,No,No,No
Premium Topping,Grape Popping Boba, 113-169 calories,No,Yes,Yes,No,No,No
Premium Topping,Coffee Popping Boba, 104-156 calories,No,Yes,No,No,No,No
Premium Topping,Strawberry Popping Boba, 130-190 calories,No,Yes,Yes,No,No,No
Premium Topping,Brown Sugar Wow Boba, 162-244 calories,No,Yes,Yes,No,No,No
Premium Topping,Milk Cap, 324 calories,Yes,No,Yes,No,No,No
Classic,KF Black/Green/Oolong Tea, 0-244 calories,No,Yes,No,No,No,No
Classic,KF Thai Tea, 310-620 calories,No,Yes,No,No,No,No
Classic,KF Honey Tea, 54-218 calories,No,No,Yes,No,No,No
Classic,Winter Melon Tea, 38-165 calories,No,Yes,Yes,No,No,Yes
Classic,Longan Jujube Tea, 114-245 calories,No,Yes,Yes,No,No,No
Classic,Winter Melon Green Tea, 38-165 calories,No,Yes,No,No,No,No
Classic,Honey Black/Green/Oolong Tea, 54-218 calories,No,No,No,No,No,No
Classic,Honey Thai Tea, 400-770 calories,No,No,No,No,No,No
